memAlpha,memBeta,vizAlpha,vizBeta,memory,vision,DV,timestep,trialDelay
1,2,1,1,-0.747529708839917,0,-0.747529708839917,1,405
1,2,1,1,-0.747529708839917,0,-0.747529708839917,2,405
1,2,1,1,-0.747529708839917,0,-0.747529708839917,3,405
1,2,1,1,-0.747529708839917,0,-0.747529708839917,4,405
1,2,1,1,-0.747529708839917,0,-0.747529708839917,5,405
1,2,1,1,-0.747529708839917,0,-0.747529708839917,6,405
1,2,1,1,-0.747529708839917,0,-0.747529708839917,7,405
1,2,1,1,-0.747529708839917,0,-0.747529708839917,8,405
1,3,1,1,-1.6736350930078,0,-1.6736350930078,9,405
1,3,1,1,-1.6736350930078,0,-1.6736350930078,10,405
1,3,1,1,-1.6736350930078,0,-1.6736350930078,11,405
1,3,1,1,-1.6736350930078,0,-1.6736350930078,12,405
1,3,1,1,-1.6736350930078,0,-1.6736350930078,13,405
1,3,1,1,-1.6736350930078,0,-1.6736350930078,14,405
1,3,1,1,-1.6736350930078,0,-1.6736350930078,15,405
1,3,1,1,-1.6736350930078,0,-1.6736350930078,16,405
2,3,1,1,-1.54593052113698,0,-1.54593052113698,17,405
2,3,1,1,-1.54593052113698,0,-1.54593052113698,18,405
2,3,1,1,-1.54593052113698,0,-1.54593052113698,19,405
2,3,1,1,-1.54593052113698,0,-1.54593052113698,20,405
2,3,1,1,-1.54593052113698,0,-1.54593052113698,21,405
2,3,1,1,-1.54593052113698,0,-1.54593052113698,22,405
2,3,1,1,-1.54593052113698,0,-1.54593052113698,23,405
2,3,1,1,-1.54593052113698,0,-1.54593052113698,24,405
3,3,1,1,-1.05930185568991,0,-1.05930185568991,25,405
3,3,1,1,-1.05930185568991,0,-1.05930185568991,26,405
3,3,1,1,-1.05930185568991,0,-1.05930185568991,27,405
3,3,1,1,-1.05930185568991,0,-1.05930185568991,28,405
3,3,1,1,-1.05930185568991,0,-1.05930185568991,29,405
3,3,1,1,-1.05930185568991,0,-1.05930185568991,30,405
3,3,1,1,-1.05930185568991,0,-1.05930185568991,31,405
3,3,1,1,-1.05930185568991,0,-1.05930185568991,32,405
4,3,1,1,-0.788106475729887,0,-0.788106475729887,33,405
4,3,1,1,-0.788106475729887,0,-0.788106475729887,34,405
4,3,1,1,-0.788106475729887,0,-0.788106475729887,35,405
4,3,1,1,-0.788106475729887,0,-0.788106475729887,36,405
4,3,1,1,-0.788106475729887,0,-0.788106475729887,37,405
4,3,1,1,-0.788106475729887,0,-0.788106475729887,38,405
4,3,1,1,-0.788106475729887,0,-0.788106475729887,39,405
4,3,1,1,-0.788106475729887,0,-0.788106475729887,40,405
4,4,1,1,-1.10223628071292,0,-1.10223628071292,41,405
4,4,1,1,-1.10223628071292,0,-1.10223628071292,42,405
4,4,1,1,-1.10223628071292,0,-1.10223628071292,43,405
4,4,1,1,-1.10223628071292,0,-1.10223628071292,44,405
4,4,1,1,-1.10223628071292,0,-1.10223628071292,45,405
4,4,1,1,-1.10223628071292,0,-1.10223628071292,46,405
4,4,1,1,-1.10223628071292,0,-1.10223628071292,47,405
4,4,1,1,-1.10223628071292,0,-1.10223628071292,48,405
5,4,1,1,-0.561613437669067,0,-0.561613437669067,49,405
5,4,1,1,-0.561613437669067,0,-0.561613437669067,50,405
5,4,1,1,-0.561613437669067,0,-0.561613437669067,51,405
5,4,1,1,-0.561613437669067,0,-0.561613437669067,52,405
5,4,1,1,-0.561613437669067,0,-0.561613437669067,53,405
5,4,1,1,-0.561613437669067,0,-0.561613437669067,54,405
5,4,1,1,-0.561613437669067,0,-0.561613437669067,55,405
5,4,1,1,-0.561613437669067,0,-0.561613437669067,56,405
6,4,1,1,-0.42537243708096,0,-0.42537243708096,57,405
6,4,1,1,-0.42537243708096,0,-0.42537243708096,58,405
6,4,1,1,-0.42537243708096,0,-0.42537243708096,59,405
