memAlpha,memBeta,vizAlpha,vizBeta,memory,vision,DV,timestep,memPrecision,vizPrecision,trialDelay
1,2,1,1,-0.747529708839917,0,-0.747529708839917,1,2.47135321672862,2.74555748170475,405
1,2,1,1,-0.747529708839917,0,-0.747529708839917,2,2.47135321672862,2.74555748170475,405
1,2,1,1,-0.747529708839917,0,-0.747529708839917,3,2.47135321672862,2.74555748170475,405
1,2,1,1,-0.747529708839917,0,-0.747529708839917,4,2.47135321672862,2.74555748170475,405
1,2,1,1,-0.747529708839917,0,-0.747529708839917,5,2.47135321672862,2.74555748170475,405
1,2,1,1,-0.747529708839917,0,-0.747529708839917,6,2.47135321672862,2.74555748170475,405
1,2,1,1,-0.747529708839917,0,-0.747529708839917,7,2.47135321672862,2.74555748170475,405
1,2,1,1,-0.747529708839917,0,-0.747529708839917,8,2.47135321672862,2.74555748170475,405
1,3,1,1,-1.6736350930078,0,-1.6736350930078,9,2.52258378541076,2.74555748170475,405
1,3,1,1,-1.6736350930078,0,-1.6736350930078,10,2.52258378541076,2.74555748170475,405
1,3,1,1,-1.6736350930078,0,-1.6736350930078,11,2.52258378541076,2.74555748170475,405
1,3,1,1,-1.6736350930078,0,-1.6736350930078,12,2.52258378541076,2.74555748170475,405
1,3,1,1,-1.6736350930078,0,-1.6736350930078,13,2.52258378541076,2.74555748170475,405
1,3,1,1,-1.6736350930078,0,-1.6736350930078,14,2.52258378541076,2.74555748170475,405
1,3,1,1,-1.6736350930078,0,-1.6736350930078,15,2.52258378541076,2.74555748170475,405
1,3,1,1,-1.6736350930078,0,-1.6736350930078,16,2.52258378541076,2.74555748170475,405
2,3,1,1,-1.54593052113698,0,-1.54593052113698,17,2.21195328205441,2.74555748170475,405
2,3,1,1,-1.54593052113698,0,-1.54593052113698,18,2.21195328205441,2.74555748170475,405
2,3,1,1,-1.54593052113698,0,-1.54593052113698,19,2.21195328205441,2.74555748170475,405
2,3,1,1,-1.54593052113698,0,-1.54593052113698,20,2.21195328205441,2.74555748170475,405
2,3,1,1,-1.54593052113698,0,-1.54593052113698,21,2.21195328205441,2.74555748170475,405
2,3,1,1,-1.54593052113698,0,-1.54593052113698,22,2.21195328205441,2.74555748170475,405
2,3,1,1,-1.54593052113698,0,-1.54593052113698,23,2.21195328205441,2.74555748170475,405
2,3,1,1,-1.54593052113698,0,-1.54593052113698,24,2.21195328205441,2.74555748170475,405
3,3,1,1,-1.05930185568991,0,-1.05930185568991,25,2.24804477386656,2.74555748170475,405
3,3,1,1,-1.05930185568991,0,-1.05930185568991,26,2.24804477386656,2.74555748170475,405
3,3,1,1,-1.05930185568991,0,-1.05930185568991,27,2.24804477386656,2.74555748170475,405
3,3,1,1,-1.05930185568991,0,-1.05930185568991,28,2.24804477386656,2.74555748170475,405
3,3,1,1,-1.05930185568991,0,-1.05930185568991,29,2.24804477386656,2.74555748170475,405
3,3,1,1,-1.05930185568991,0,-1.05930185568991,30,2.24804477386656,2.74555748170475,405
3,3,1,1,-1.05930185568991,0,-1.05930185568991,31,2.24804477386656,2.74555748170475,405
3,3,1,1,-1.05930185568991,0,-1.05930185568991,32,2.24804477386656,2.74555748170475,405
4,3,1,1,-0.788106475729887,0,-0.788106475729887,33,2.38066898963553,2.74555748170475,405
4,3,1,1,-0.788106475729887,0,-0.788106475729887,34,2.38066898963553,2.74555748170475,405
4,3,1,1,-0.788106475729887,0,-0.788106475729887,35,2.38066898963553,2.74555748170475,405
4,3,1,1,-0.788106475729887,0,-0.788106475729887,36,2.38066898963553,2.74555748170475,405
4,3,1,1,-0.788106475729887,0,-0.788106475729887,37,2.38066898963553,2.74555748170475,405
4,3,1,1,-0.788106475729887,0,-0.788106475729887,38,2.38066898963553,2.74555748170475,405
4,3,1,1,-0.788106475729887,0,-0.788106475729887,39,2.38066898963553,2.74555748170475,405
4,3,1,1,-0.788106475729887,0,-0.788106475729887,40,2.38066898963553,2.74555748170475,405
4,4,1,1,-1.10223628071292,0,-1.10223628071292,41,2.18477915583835,2.74555748170475,405
4,4,1,1,-1.10223628071292,0,-1.10223628071292,42,2.18477915583835,2.74555748170475,405
4,4,1,1,-1.10223628071292,0,-1.10223628071292,43,2.18477915583835,2.74555748170475,405
4,4,1,1,-1.10223628071292,0,-1.10223628071292,44,2.18477915583835,2.74555748170475,405
4,4,1,1,-1.10223628071292,0,-1.10223628071292,45,2.18477915583835,2.74555748170475,405
4,4,1,1,-1.10223628071292,0,-1.10223628071292,46,2.18477915583835,2.74555748170475,405
4,4,1,1,-1.10223628071292,0,-1.10223628071292,47,2.18477915583835,2.74555748170475,405
4,4,1,1,-1.10223628071292,0,-1.10223628071292,48,2.18477915583835,2.74555748170475,405
5,4,1,1,-0.561613437669067,0,-0.561613437669067,49,2.28662958863599,2.74555748170475,405
5,4,1,1,-0.561613437669067,0,-0.561613437669067,50,2.28662958863599,2.74555748170475,405
5,4,1,1,-0.561613437669067,0,-0.561613437669067,51,2.28662958863599,2.74555748170475,405
5,4,1,1,-0.561613437669067,0,-0.561613437669067,52,2.28662958863599,2.74555748170475,405
5,4,1,1,-0.561613437669067,0,-0.561613437669067,53,2.28662958863599,2.74555748170475,405
5,4,1,1,-0.561613437669067,0,-0.561613437669067,54,2.28662958863599,2.74555748170475,405
5,4,1,1,-0.561613437669067,0,-0.561613437669067,55,2.28662958863599,2.74555748170475,405
5,4,1,1,-0.561613437669067,0,-0.561613437669067,56,2.28662958863599,2.74555748170475,405
6,4,1,1,-0.42537243708096,0,-0.42537243708096,57,2.41194555132379,2.74555748170475,405
6,4,1,1,-0.42537243708096,0,-0.42537243708096,58,2.41194555132379,2.74555748170475,405
6,4,1,1,-0.42537243708096,0,-0.42537243708096,59,2.41194555132379,2.74555748170475,405
6,4,1,1,-0.42537243708096,0,-0.42537243708096,60,2.41194555132379,2.74555748170475,405
6,4,1,1,-0.42537243708096,0,-0.42537243708096,61,2.41194555132379,2.74555748170475,405
6,4,1,1,-0.42537243708096,0,-0.42537243708096,62,2.41194555132379,2.74555748170475,405
6,4,1,1,-0.42537243708096,0,-0.42537243708096,63,2.41194555132379,2.74555748170475,405
6,4,1,1,-0.42537243708096,0,-0.42537243708096,64,2.41194555132379,2.74555748170475,405
7,4,1,1,0.11427770395437,0,0.11427770395437,65,2.55077243345607,2.74555748170475,405
7,4,1,1,0.11427770395437,0,0.11427770395437,66,2.55077243345607,2.74555748170475,405
7,4,1,1,0.11427770395437,0,0.11427770395437,67,2.55077243345607,2.74555748170475,405
7,4,1,1,0.11427770395437,0,0.11427770395437,68,2.55077243345607,2.74555748170475,405
7,4,1,1,0.11427770395437,0,0.11427770395437,69,2.55077243345607,2.74555748170475,405
7,4,1,1,0.11427770395437,0,0.11427770395437,70,2.55077243345607,2.74555748170475,405
7,4,1,1,0.11427770395437,0,0.11427770395437,71,2.55077243345607,2.74555748170475,405
7,4,1,1,0.11427770395437,0,0.11427770395437,72,2.55077243345607,2.74555748170475,405
7,5,1,1,0.0967420583539224,0,0.0967420583539224,73,2.32829250180471,2.74555748170475,405
7,5,1,1,0.0967420583539224,0,0.0967420583539224,74,2.32829250180471,2.74555748170475,405
7,5,1,1,0.0967420583539224,0,0.0967420583539224,75,2.32829250180471,2.74555748170475,405
7,5,1,1,0.0967420583539224,0,0.0967420583539224,76,2.32829250180471,2.74555748170475,405
7,5,1,1,0.0967420583539224,0,0.0967420583539224,77,2.32829250180471,2.74555748170475,405
7,5,1,1,0.0967420583539224,0,0.0967420583539224,78,2.32829250180471,2.74555748170475,405
7,5,1,1,0.0967420583539224,0,0.0967420583539224,79,2.32829250180471,2.74555748170475,405
7,5,1,1,0.0967420583539224,0,0.0967420583539224,80,2.32829250180471,2.74555748170475,405
8,5,1,1,0.130284825969176,0,0.130284825969176,81,2.43655884525221,2.74555748170475,405
8,5,1,1,0.130284825969176,0,0.130284825969176,82,2.43655884525221,2.74555748170475,405
8,5,1,1,0.130284825969176,0,0.130284825969176,83,2.43655884525221,2.74555748170475,405
8,5,1,1,0.130284825969176,0,0.130284825969176,84,2.43655884525221,2.74555748170475,405
8,5,1,1,0.130284825969176,0,0.130284825969176,85,2.43655884525221,2.74555748170475,405
8,5,1,1,0.130284825969176,0,0.130284825969176,86,2.43655884525221,2.74555748170475,405
