memAlpha,memBeta,vizAlpha,vizBeta,memory,vision,DV,timestep,memPrecision,vizPrecision
15,5,67,74,8.63865103158315,-3.36441207224527,5.27423895933789,139,3.30647937286713,1.97079382796382
15,5,68,74,8.63865103158315,-2.40181963472464,6.23683139685851,140,3.30647937286713,1.97604312230845
15,5,69,74,8.63865103158315,-2.10885707359022,6.52979395799293,141,3.30647937286713,1.98140563948997
15,5,70,74,8.63865103158315,-1.20819493325658,7.43045609832658,142,3.30647937286713,1.98687673300931
15,5,71,74,8.63865103158315,-0.993479608858991,7.64517142272416,143,3.30647937286713,1.99245200882993
15,5,71,75,8.63865103158315,-1.72794793352939,6.91070309805377,144,3.30647937286713,1.98703701184592
16,5,71,76,9.8619087892497,-2.31284844182509,7.54906034742461,145,3.43784405299163,1.98185196109293
16,5,72,76,9.8619087892497,-1.17677946260404,8.68512932664566,146,3.43784405299163,1.98719347550783
16,5,72,77,9.8619087892497,-2.11625795457363,7.74565083467607,147,3.43784405299163,1.98206731070029
16,5,73,77,9.8619087892497,-2.05812740742216,7.80378138182755,148,3.43784405299163,1.9873462563128
16,5,74,77,9.8619087892497,-1.70417815450414,8.15773063474556,149,3.43784405299163,1.99272071968011
16,5,74,78,9.8619087892497,-1.78443325727562,8.07747553197409,150,3.43784405299163,1.98749548066376
16,5,74,79,9.8619087892497,-2.05647567094779,7.80543311830192,151,3.43784405299163,1.98248326004384
16,5,74,80,9.8619087892497,-2.40697273625163,7.45493605299808,152,3.43784405299163,1.97767593072627
16,6,75,80,9.59925553451614,-2.259597417123,7.33965811739314,153,3.07360773912796,1.98268418628113
16,6,76,80,9.59925553451614,-1.53613848287775,8.06311705163838,154,3.07360773912796,1.9877837379244
16,6,76,81,9.59925553451614,-1.86114265791153,7.73811287660461,155,3.07360773912796,1.98288061962156
16,6,77,81,9.59925553451614,-1.66034180750532,7.93891372701082,156,3.07360773912796,1.98792299682415
16,6,78,81,9.59925553451614,-1.53760846332018,8.06164707119595,157,3.07360773912796,1.99305092333328
16,6,79,81,9.59925553451614,-1.02632000121475,8.57293553330139,158,3.07360773912796,1.99826128763549
16,6,80,81,9.59925553451614,-0.269026830542403,9.33022870397373,159,3.07360773912796,2.00355112825857
16,6,81,81,9.59925553451614,0.811190409312647,10.4104459438288,160,3.07360773912796,2.00891762479087
17,6,81,82,9.84989400522027,0.619150229882269,10.4690442351025,161,3.18175537361495,2.00350646856472
17,6,81,83,9.84989400522027,0.0878372082033704,9.93773121342364,162,3.18175537361495,1.99829627978365
17,6,81,84,9.84989400522027,-0.103034549188015,9.74685945603225,163,3.18175537361495,1.99327976731365
17,6,81,85,9.84989400522027,-0.700326858899162,9.14956714632111,164,3.18175537361495,1.98844998410966
17,6,81,86,9.84989400522027,-1.25391908982641,8.59597491539385,165,3.18175537361495,1.98380030719601
17,6,82,86,9.84989400522027,-0.864481701085115,8.98541230413515,166,3.18175537361495,1.98857469382405
17,6,82,87,9.84989400522027,-0.951524334229064,8.8983696709912,167,3.18175537361495,1.98397265237957
17,6,83,87,9.84989400522027,-0.63972081376369,9.21017319145658,168,3.18175537361495,1.98869676503527
18,6,83,88,10.9476246307884,-1.78925590238274,9.15836872840566,169,3.29071002657034,1.98414141047329
18,6,84,88,10.9476246307884,-1.61880123613565,9.32882339465275,170,3.29071002657034,1.98881627963203
18,6,85,88,10.9476246307884,-0.802834436218251,10.1447901945701,171,3.29071002657034,1.9935626478596
18,6,85,89,10.9476246307884,-0.994328811429047,9.95329581935935,172,3.29071002657034,1.98893331619749
18,6,85,90,10.9476246307884,-1.43707646507281,9.51054816571559,173,3.29071002657034,1.98446859817676
18,6,85,91,10.9476246307884,-2.09823587391935,8.84938875686905,174,3.29071002657034,1.98016297392958
18,6,85,92,10.9476246307884,-2.47178475888146,8.47583987190694,175,3.29071002657034,1.97601116433177
18,6,85,93,10.9476246307884,-2.77280949112292,8.17481513966548,176,3.29071002657034,1.97200811804926
19,6,85,94,12.2752657581916,-2.99465052357418,9.28061523461744,177,3.40034595289196,1.9681489994116
19,6,85,95,12.2752657581916,-3.20399745708338,9.07126830110824,178,3.40034595289196,1.96442917705149
19,6,85,96,12.2752657581916,-3.87685999780915,8.39840576038247,179,3.40034595289196,1.96084421325456
19,6,86,96,12.2752657581916,-3.54753472030943,8.72773103788219,180,3.40034595289196,1.96476029775668
