subID,cue,coherence,model,loss,sample_size,n_params,n1_neut,s1_neut,n2_neut,s2_neut,B,n1_cong,n1_incong,s1_cong,s1_incong,n2_cong,n2_incong,s2_cong,s2_incong
3,0.65,0.53,,7932.374977856085,4026,9,,,,,1.953225,0.224995,0.330332,0.998889,0.009965,-0.400252,-0.076686,2.171474,-0.956373
3,0.65,0.61,,5093.746699226933,4000,9,,,,,1.004439,0.673579,0.478694,1.854558,-1.0,-0.362292,-0.243389,8.02769,-1.0
3,0.65,0.515,,396.72979697191596,245,9,,,,,4.46804,1.281361,1.422903,1.063394,1.578037,-0.660203,-1.0,3.460531,3.901845
3,0.8,0.56,,5443.831164249539,3968,9,,,,,1.369509,0.922848,0.876677,1.415118,-0.722221,-0.305225,-0.020267,1.996004,-1.0
3,0.8,0.52,,2973.0939474015618,1956,9,,,,,3.772988,1.749344,1.873518,1.010848,1.323071,-0.752116,-0.853534,2.986742,3.316183
3,0.8,0.54,,5831.396534959885,3537,9,,,,,1.842994,0.916407,0.919838,1.244612,0.133428,-0.49048,-0.339027,2.175213,-1.0
3,0.8,0.53,,7858.449199931717,4763,9,,,,,2.234519,0.809181,0.995122,1.197407,0.374539,-0.600658,-0.393591,2.506625,-0.805998
3,0.8,0.61,,3606.15218106475,4000,9,,,,,1.003849,1.298603,1.127561,2.468565,-1.0,-0.453484,-0.532923,6.265342,-1.0
3,0.8,0.515,,424.24851431513923,376,9,,,,,7.42333,4.225956,5.251943,2.04003,1.749974,-0.614955,-0.138644,3.304495,2.945368
4,0.5,0.56,,7113.8300505681555,3946,5,0.016181,1.022886,-0.178935,1.764679,1.383272,,,,,,,,
4,0.5,0.53,,7935.261362973649,3834,5,-0.008402,0.607234,-0.258058,1.985117,2.054532,,,,,,,,
4,0.5,0.515,,291.9540224488082,175,5,3.521231,2.869739,1.076828,4.04337,10.293862,,,,,,,,
4,0.5,0.54,,6819.804560967654,3300,5,0.020718,0.641482,-0.157238,1.54081,1.712595,,,,,,,,
4,0.5,0.52,,2329.6904978398898,1190,5,-0.146438,0.842857,-0.438125,2.633768,2.7177,,,,,,,,
4,0.5,0.61,,5508.471083543896,4000,5,0.049063,1.915456,-0.046743,5.743297,1.003403,,,,,,,,
4,0.65,0.56,,6739.189220445353,3945,9,,,,,1.397054,0.488696,0.410905,1.032258,-0.712595,-0.27596,-0.079918,1.871631,-1.0
4,0.65,0.53,,7766.819795412657,3958,9,,,,,2.052272,0.281418,0.368639,1.108751,-0.070739,-0.40272,-0.083773,2.188593,-1.0
4,0.65,0.515,,445.9527430603384,247,9,,,,,5.575982,2.440389,2.365581,1.281854,2.351747,-0.449133,-1.0,3.237983,3.406509
4,0.65,0.54,,6626.912842830046,3405,9,,,,,1.748288,0.418866,0.366341,1.140892,-0.392222,-0.409003,0.006117,1.811144,-1.0
4,0.65,0.52,,2509.1651874415247,1353,9,,,,,2.559507,0.123316,0.323657,1.080139,0.000667,-0.54978,0.013069,2.636824,-1.0
4,0.65,0.61,,5082.19071029023,4000,9,,,,,1.003445,0.636138,0.492774,1.60417,-1.0,-0.104157,-0.323222,6.512515,-1.0
4,0.8,0.56,,5435.359548751436,3971,9,,,,,1.391671,0.983861,0.879866,1.31467,-0.649443,-0.314245,-0.047546,2.056367,-1.0
4,0.8,0.53,,7789.646772082926,4712,9,,,,,2.31505,0.856041,1.052402,1.158555,0.209554,-0.569257,-0.334122,2.53985,-0.371557
4,0.8,0.515,,519.6567203651947,418,9,,,,,5.727124,2.860263,3.093588,1.35612,2.680473,-0.72994,-0.838284,3.250804,2.791656
4,0.8,0.54,,5814.7633038584545,3548,9,,,,,1.797646,0.856878,0.904112,1.28963,-0.131014,-0.525812,-0.250824,2.202614,-1.0
4,0.8,0.52,,2931.2516407385674,1962,9,,,,,3.725702,1.585069,1.962077,1.218197,1.459313,-0.653433,-1.0,2.953746,3.097873
4,0.8,0.61,,3796.8467942624334,4000,9,,,,,1.002835,1.263346,1.154816,2.381727,-1.0,-0.20056,-0.311512,7.31848,-1.0
5,0.5,0.515,,404.67026268096635,200,5,1.479954,2.433722,-0.417409,3.712229,6.055554,,,,,,,,
5,0.5,0.56,,7135.648073885195,3938,5,0.03741,0.916048,-0.11541,1.604914,1.337072,,,,,,,,
5,0.5,0.53,,8062.970522806712,3803,5,-0.009153,0.596296,-0.238286,2.105188,2.185687,,,,,,,,
5,0.5,0.54,,6886.98959991228,3332,5,-0.001743,0.681829,-0.178269,1.58162,1.70668,,,,,,,,
5,0.5,0.52,,2334.68414070287,1162,5,2.266064,2.076553,-0.711802,3.338583,5.779809,,,,,,,,
5,0.5,0.61,,5539.144798816483,4000,5,-0.020208,1.870513,-0.164646,4.667515,1.003306,,,,,,,,
5,0.65,0.515,,406.1299091985904,248,9,,,,,7.332664,3.465692,-0.38231,2.651788,6.055716,-1.0,-0.133342,3.375872,4.226887
5,0.65,0.56,,6661.828625121925,3948,9,,,,,1.372717,0.502794,0.465352,1.128916,-0.904326,-0.316311,-0.089365,1.86166,-1.0
5,0.65,0.53,,7846.745852681785,4029,9,,,,,2.04674,0.344635,0.36714,0.989654,0.01804,-0.443996,-0.115352,2.252359,-1.0
5,0.65,0.54,,6606.833803919766,3380,9,,,,,1.720633,0.399837,0.386707,1.063323,-0.292437,-0.365802,-0.04262,1.798261,-1.0
5,0.65,0.52,,2722.605720967533,1429,9,,,,,2.493008,0.066943,0.287233,1.344472,0.458514,-0.598581,-0.214624,2.454389,-1.0
5,0.65,0.61,,5002.431687021008,4000,9,,,,,1.002197,0.622669,0.418003,1.764755,-0.929966,0.321335,0.444965,5.009208,-0.545865
5,0.8,0.515,,512.5788741883359,438,9,,,,,4.444604,1.649504,2.110375,1.298246,0.472528,-1.0,-0.362616,3.442608,3.979542
5,0.8,0.56,,5511.673100717229,3975,9,,,,,1.426634,0.989981,0.971576,1.347622,-0.577017,-0.309444,-0.174588,2.072242,-1.0
5,0.8,0.53,,7819.38529420066,4687,9,,,,,2.155752,0.749737,0.913491,1.157157,0.374594,-0.574531,-0.27539,2.41673,-0.68414
5,0.8,0.54,,5904.808728303673,3553,9,,,,,1.802126,0.869133,0.85927,1.254705,0.048508,-0.514758,-0.27806,2.132762,-1.0
5,0.8,0.52,,3078.5673627487135,1963,9,,,,,4.545356,2.37227,2.842234,1.3104,1.43108,-0.852563,-0.935219,3.096061,3.215888
5,0.8,0.61,,3571.405366426108,4000,9,,,,,1.005803,1.305526,1.220528,2.484944,-1.0,-0.355445,0.234341,7.550652,-1.0
