subID,cue,coherence,model,parameter,fitted_value
2,0.5,0.52,,s2_neut,2.693649
2,0.5,0.52,,B,2.730859
2,0.5,0.54,,n1_neut,0.005847
2,0.5,0.54,,s1_neut,0.601542
2,0.5,0.54,,n2_neut,-0.175003
2,0.5,0.54,,s2_neut,1.622919
2,0.5,0.54,,B,1.721709
2,0.5,0.53,,n1_neut,-0.027102
2,0.5,0.53,,s1_neut,0.487079
2,0.5,0.53,,n2_neut,-0.190422
2,0.5,0.53,,s2_neut,1.950402
2,0.5,0.53,,B,2.073337
2,0.5,0.515,,n1_neut,2.346245
2,0.5,0.515,,s1_neut,1.853715
2,0.5,0.515,,n2_neut,2.523341
2,0.5,0.515,,s2_neut,4.236008
2,0.5,0.515,,B,9.979028
2,0.5,0.61,,n1_neut,0.042814
2,0.5,0.61,,s1_neut,1.950699
2,0.5,0.61,,n2_neut,-0.312418
2,0.5,0.61,,s2_neut,6.838861
2,0.5,0.61,,B,1.002746
2,0.65,0.56,,n1_cong,0.482363
2,0.65,0.56,,n1_incong,0.398279
2,0.65,0.56,,s1_cong,1.109548
2,0.65,0.56,,s1_incong,-0.832566
2,0.65,0.56,,n2_cong,-0.133259
2,0.65,0.56,,n2_incong,0.025825
2,0.65,0.56,,s2_cong,1.462848
2,0.65,0.56,,s2_incong,-1.0
2,0.65,0.56,,B,1.344473
2,0.65,0.52,,n1_cong,0.083333
2,0.65,0.52,,n1_incong,0.341277
2,0.65,0.52,,s1_cong,1.062627
2,0.65,0.52,,s1_incong,0.326487
2,0.65,0.52,,n2_cong,-0.505912
2,0.65,0.52,,n2_incong,-0.085066
2,0.65,0.52,,s2_cong,2.586036
2,0.65,0.52,,s2_incong,-0.725029
2,0.65,0.52,,B,2.523215
2,0.65,0.54,,n1_cong,0.440654
2,0.65,0.54,,n1_incong,0.423631
2,0.65,0.54,,s1_cong,1.020976
2,0.65,0.54,,s1_incong,-0.289649
2,0.65,0.54,,n2_cong,-0.354821
2,0.65,0.54,,n2_incong,-0.113602
2,0.65,0.54,,s2_cong,1.816275
2,0.65,0.54,,s2_incong,-1.0
2,0.65,0.54,,B,1.751702
2,0.65,0.53,,n1_cong,0.303509
2,0.65,0.53,,n1_incong,0.308205
2,0.65,0.53,,s1_cong,0.953682
2,0.65,0.53,,s1_incong,-0.173109
2,0.65,0.53,,n2_cong,-0.405361
2,0.65,0.53,,n2_incong,-0.055909
2,0.65,0.53,,s2_cong,2.268775
2,0.65,0.53,,s2_incong,-1.0
2,0.65,0.53,,B,2.112231
2,0.65,0.515,,n1_cong,0.628103
2,0.65,0.515,,n1_incong,3.603646
